"key";"form";"instruction";"en";"nl";"af";"sq";"am";"ar";"hy";"as";"az";"eu";"be";"bn";"bs";"bg";"my";"ca";"zh";"hr";"cs";"da";"et";"fo";"fi";"fr";"gl";"ka";"de";"el";"gu";"he";"hi";"hu";"is";"id";"ga";"it";"ja";"kn";"kk";"km";"ko";"lo";"lv";"lt";"mk";"ms";"ml";"mr";"mn";"ne";"nb";"or";"fa";"pl";"pt";"pa";"ro";"ru";"sr";"si";"sk";"sl";"es";"sw";"sv";"ta";"te";"th";"bo";"tr";"uk";"ur";"ug";"uz";"vi";"cy";"zu"
"info.mode.fractions.multiple";"";"The popup shown when a topic or mode button is tapped a second time. Aim for 55 characters or fewer.";"Single and multiple parts";"Enkele en meerdere delen";"Een en meer dele";"Një ose disa pjesë";"አንድ እና ብዙ ክፍሎች";"جزء واحد أو عدة أجزاء";"Մեկ և մի քանի մաս";"এটা আৰু একাধিক অংশ";"Bir və bir neçə hissə";"Zati bat eta hainbat zati";"Адна і некалькі частак";"একটি ও একাধিক অংশ";"Jedan ili više dijelova";"Една или няколко части";"တစ်ပိုင်းနှင့် အပိုင်းများ";"Una o diverses parts";"一份或多份";"Jedan ili više dijelova";"Jedna i více částí";"En eller flere dele";"Üks või mitu osa";"Ein og fleiri partar";"Yksi tai monta osaa";"Une ou plusieurs parts";"Unha ou varias partes";"ერთი და რამდენიმე ნაწილი";"Ein oder mehrere Teile";"Ένα ή περισσότερα μέρη";"એક અને ઘણા ભાગો";"חלק אחד או כמה חלקים";"एक या कई भाग";"Egy vagy több rész";"Einn og fleiri hlutar";"Satu atau beberapa bagian";"Cuid amháin nó níos mó";"Una o più parti";"1つまたはいくつかのパーツ";"ಒಂದು ಮತ್ತು ಹಲವು ಭಾಗಗಳು";"Бір және бірнеше бөлік";"មួយផ្នែក និងច្រើនផ្នែក";"한 부분과 여러 부분";"ໜຶ່ງສ່ວນ ແລະ ຫຼາຍສ່ວນ";"Viena un vairākas daļas";"Viena ir kelios dalys";"Еден и повеќе делови";"Satu atau banyak bahagian";"ഒന്നോ പലതോ ഭാഗങ്ങൾ";"एक किंवा अनेक भाग";"Нэг болон олон хэсэг";"एक वा धेरै भाग";"Én eller flere deler";"ଗୋଟିଏ ଓ ଅନେକ ଅଂଶ";"یک یا چند بخش";"Jedna lub kilka części";"Uma ou várias partes";"ਇੱਕ ਜਾਂ ਕਈ ਹਿੱਸੇ";"Una sau mai multe părți";"Одна или несколько частей";"Jedan ili više delova";"එකක් සහ කොටස් කිහිපයක්";"Jedna aj viac častí";"En ali več delov";"Una o varias partes";"Sehemu moja au nyingi";"En eller flera delar";"ஒன்று அல்லது பல பகுதிகள்";"ఒకటి లేదా ఎక్కువ భాగాలు";"หนึ่งส่วนและหลายส่วน";"ཆ་ཤས་གཅིག་དང་མང་པོ";"Tek ve birden çok parça";"Одна або кілька частин";"ایک اور کئی حصے";"بىر ۋە كۆپ بۆلەك";"Bitta va bir nechta qism";"Một hoặc nhiều phần";"Un rhan neu sawl rhan";"Ingxenye eyodwa neziningi"
"info.mode.fractions.single";"";"The popup shown when a topic or mode button is tapped a second time. Aim for 55 characters or fewer.";"Always a single part";"Altijd een enkel deel";"Altyd een deel";"Gjithmonë një pjesë";"ሁልጊዜ አንድ ክፍል";"جزء واحد دائمًا";"Միշտ մեկ մաս";"সদায় এটা অংশ";"Həmişə bir hissə";"Beti zati bakarra";"Заўсёды адна частка";"সব সময় একটি অংশ";"Uvijek jedan dio";"Винаги една част";"အမြဲ တစ်ပိုင်းသာ";"Sempre una sola part";"总是一份";"Uvijek jedan dio";"Vždy jedna část";"Altid én del";"Alati üks osa";"Altíð ein partur";"Aina yksi osa";"Toujours une seule part";"Sempre unha soa parte";"ყოველთვის ერთი ნაწილი";"Immer nur ein Teil";"Πάντα ένα μέρος";"હંમેશા એક ભાગ";"תמיד חלק אחד";"हमेशा एक भाग";"Mindig egy rész";"Alltaf einn hluti";"Selalu satu bagian";"Cuid amháin i gcónaí";"Sempre una sola parte";"いつも1つのパーツ";"ಯಾವಾಗಲೂ ಒಂದು ಭಾಗ";"Әрқашан бір бөлік";"តែមួយផ្នែកជានិច្ច";"항상 한 부분";"ໜຶ່ງສ່ວນສະເໝີ";"Vienmēr viena daļa";"Visada viena dalis";"Секогаш еден дел";"Sentiasa satu bahagian";"എപ്പോഴും ഒരു ഭാഗം";"नेहमी एकच भाग";"Үргэлж нэг хэсэг";"सधैं एक भाग";"Alltid én del";"ସବୁବେଳେ ଗୋଟିଏ ଅଂଶ";"همیشه یک بخش";"Zawsze jedna część";"Sempre uma parte";"ਹਮੇਸ਼ਾ ਇੱਕ ਹਿੱਸਾ";"Mereu o singură parte";"Всегда одна часть";"Uvek jedan deo";"හැමවිටම එක කොටසක්";"Vždy jedna časť";"Vedno en del";"Siempre una sola parte";"Daima sehemu moja";"Alltid en del";"எப்போதும் ஒரு பகுதி";"ఎప్పుడూ ఒక భాగం";"หนึ่งส่วนเสมอ";"རྟག་ཏུ་ཆ་ཤས་གཅིག";"Her zaman tek parça";"Завжди одна частина";"ہمیشہ ایک حصہ";"ھەمىشە بىر بۆلەك";"Har doim bitta qism";"Luôn chỉ một phần";"Un rhan bob tro";"Njalo ingxenye eyodwa"
"info.mode.header";"";"The popup shown when a topic or mode button is tapped a second time. Aim for 55 characters or fewer.";"Order";"Volgorde";"Volgorde";"Rendi";"ቅደም ተከተል";"الترتيب";"Հերթականություն";"ক্ৰম";"Ardıcıllıq";"Ordena";"Парадак";"ক্রম";"Redoslijed";"Ред";"အစဉ်";"Ordre";"顺序";"Redoslijed";"Pořadí";"Rækkefølge";"Järjekord";"Raðfylgja";"Järjestys";"Ordre";"Orde";"თანმიმდევრობა";"Reihenfolge";"Σειρά";"ક્રમ";"סדר";"क्रम";"Sorrend";"Röð";"Urutan";"Ord";"Ordine";"順番";"ಕ್ರಮ";"Реті";"លំដាប់";"순서";"ລຳດັບ";"Secība";"Tvarka";"Редослед";"Urutan";"ക്രമം";"क्रम";"Дараалал";"क्रम";"Rekkefølge";"କ୍ରମ";"ترتیب";"Kolejność";"Ordem";"ਕ੍ਰਮ";"Ordine";"Порядок";"Redosled";"පිළිවෙළ";"Poradie";"Vrstni red";"Orden";"Mpangilio";"Ordning";"வரிசை";"క్రమం";"ลำดับ";"གོ་རིམ";"Sıra";"Порядок";"ترتیب";"تەرتىپ";"Tartib";"Thứ tự";"Trefn";"Ukuhleleka"
"info.mode.mixed";"";"The popup shown when a topic or mode button is tapped a second time. Aim for 55 characters or fewer.";"Mixed with lower levels";"Gemengd met lagere niveaus";"Gemeng met laer vlakke";"Përzier me nivele më të ulëta";"ከዝቅተኛ ደረጃዎች ጋር ድብልቅ";"مختلط مع المستويات السابقة";"Խառը՝ ավելի ցածր մակարդակների հետ";"আগৰ লেভেলৰ সৈতে মিশ্ৰ";"Aşağı səviyyələrlə qarışıq";"Beheko mailekin nahasita";"Разам з лягчэйшымі ўзроўнямі";"নিচের লেভেলসহ মিশ্র";"Pomiješano s nižim nivoima";"Смесено с по-ниски нива";"အောက်အဆင့်များနှင့် ရောစပ်";"Barrejat amb nivells anteriors";"混合较低关卡";"Miješano s nižim razinama";"Smíšené s nižšími úrovněmi";"Blandet med lavere baner";"Koos varasemate tasemetega";"Blandað við lægri stigum";"Mukana alempia tasoja";"Mélangé avec les niveaux précédents";"Mesturado con niveis anteriores";"შერეული ქვედა დონეებთან";"Mit niedrigeren Levels gemischt";"Μίξη με προηγούμενα επίπεδα";"નીચલા લેવલ સાથે મિશ્ર";"מעורבב עם שלבים קודמים";"पिछले स्तरों के साथ मिक्स";"Alsóbb szintekkel vegyesen";"Blandað við lægri borð";"Dicampur dengan level sebelumnya";"Measctha le leibhéil níos ísle";"Misto con livelli precedenti";"前のレベルもまぜる";"ಕೆಳ ಹಂತಗಳೊಂದಿಗೆ ಮಿಶ್ರ";"Төменгі деңгейлермен аралас";"លាយជាមួយកម្រិតមុនៗ";"낮은 레벨과 섞기";"ປະສົມກັບດ່ານທີ່ຕ່ຳກວ່າ";"Kopā ar zemākiem līmeņiem";"Kartu su žemesniais lygiais";"Измешано со пониски нивоа";"Campur dengan tahap lebih rendah";"താഴത്തെ ലെവലുകളുമായി കലർത്തിയത്";"खालच्या स्तरांसोबत मिश्र";"Доод түвшинтэй холих";"तल्ला लेभलसँग मिसिएको";"Blandet med lavere nivåer";"ତଳ ଲେଭେଲ୍ ସହ ମିଶ୍ରିତ";"ترکیب با مرحله‌های پایین‌تر";"Razem z niższymi poziomami";"Misturado com níveis anteriores";"ਹੇਠਲੇ ਲੈਵਲਾਂ ਨਾਲ ਮਿਲੇ-ਜੁਲੇ";"Amestecat cu niveluri mai ușoare";"Вместе с прошлыми уровнями";"Pomešano s nižim nivoima";"පහළ මට්ටම් සමඟ මිශ්‍ර";"Zmiešané s nižšími úrovňami";"Mešano z lažjimi stopnjami";"Mezclado con niveles anteriores";"Imechanganywa na viwango vya chini";"Blandat med lägre nivåer";"கீழ்நிலைகளுடன் கலவை";"తక్కువ లెవల్‌లతో కలిపి";"ผสมกับด่านก่อนหน้า";"རིམ་པ་དམའ་བ་དང་འདྲེས་པ";"Önceki seviyelerle karışık";"Разом із нижчими рівнями";"پچھلے لیولز کے ساتھ مکس";"تۆۋەن دەرىجىلەر بىلەن ئارىلاش";"Quyi bosqichlar bilan aralash";"Trộn với các cấp thấp hơn";"Cymysg â lefelau is";"Kuxutshwe namaleveli aphansi"
"info.mode.order";"";"The popup shown when a topic or mode button is tapped a second time. Aim for 55 characters or fewer.";"Fixed order";"Vaste volgorde";"Vaste volgorde";"Rend fiks";"ቋሚ ቅደም ተከተል";"ترتيب ثابت";"Հաստատուն հերթականություն";"নিৰ্দিষ্ট ক্ৰম";"Sabit ardıcıllıq";"Ordena finkoa";"Па парадку";"নির্দিষ্ট ক্রম";"Fiksni redoslijed";"Фиксиран ред";"သတ်မှတ်အစဉ်";"Ordre fix";"固定顺序";"Fiksni redoslijed";"Pevné pořadí";"Fast rækkefølge";"Kindel järjekord";"Føst raðfylgja";"Kiinteä järjestys";"Ordre fixe";"Orde fixa";"ფიქსირებული რიგი";"Feste Reihenfolge";"Σταθερή σειρά";"નક્કી ક્રમ";"סדר קבוע";"तय क्रम";"Rögzített sorrend";"Föst röð";"Urutan tetap";"Ord socraithe";"Ordine fisso";"決まった順番";"ನಿಗದಿತ ಕ್ರಮ";"Тұрақты рет";"លំដាប់ថេរ";"정해진 순서";"ລຳດັບຄົງທີ່";"Noteikta secība";"Fiksuota tvarka";"Фиксен редослед";"Urutan tetap";"നിശ്ചിത ക്രമം";"ठरलेला क्रम";"Тогтсон дараалал";"निश्चित क्रम";"Fast rekkefølge";"ନିର୍ଦ୍ଧାରିତ କ୍ରମ";"ترتیب ثابت";"Stała kolejność";"Ordem fixa";"ਪੱਕਾ ਕ੍ਰਮ";"Ordine fixă";"По порядку";"Fiksni redosled";"නියමිත පිළිවෙළ";"Pevné poradie";"Določen vrstni red";"Orden fijo";"Mpangilio maalum";"Fast ordning";"நிலையான வரிசை";"స్థిర క్రమం";"ลำดับตายตัว";"གོ་རིམ་གཏན་འཁེལ";"Sabit sıra";"Фіксований порядок";"مقررہ ترتیب";"مۇقىم تەرتىپ";"O‘zgarmas tartib";"Thứ tự cố định";"Trefn benodol";"Ukuhleleka okuqinile"
"info.mode.percentages.decimal";"";"The popup shown when a topic or mode button is tapped a second time. Aim for 55 characters or fewer.";"Including decimal numbers";"Ook getallen achter de komma";"Met desimale getalle";"Me numra dhjetorë";"የአስርዮሽ ቁጥሮችን ጨምሮ";"يشمل الأعداد العشرية";"Նաև տասնորդական թվերով";"দশমিক সংখ্যাসহ";"Onluq ədədlərlə";"Zenbaki hamartarrak barne";"З дзесятковымі лікамі";"দশমিক সংখ্যাসহ";"S decimalnim brojevima";"С десетични числа";"ဒသမကိန်းများ ပါဝင်";"Amb nombres decimals";"包含小数";"Uključujući decimalne brojeve";"Včetně desetinných čísel";"Med decimaltal";"Koos kümnendarvudega";"Við desimaltølum";"Myös desimaaliluvut";"Avec des nombres décimaux";"Con números decimais";"ათწილადებით";"Mit Dezimalzahlen";"Με δεκαδικούς αριθμούς";"દશાંશ સંખ્યાઓ સાથે";"כולל מספרים עשרוניים";"दशमलव संख्याओं सहित";"Tizedes számokkal";"Með tugabrotum";"Termasuk bilangan desimal";"Le huimhreacha deachúlacha";"Con numeri decimali";"小数あり";"ದಶಮಾಂಶಗಳೊಂದಿಗೆ";"Ондық сандармен";"រួមទាំងលេខទសភាគ";"소수 포함";"ລວມຈຳນວນທົດສະນິຍົມ";"Ar decimālskaitļiem";"Su dešimtainiais skaičiais";"Со децимални броеви";"Termasuk nombor perpuluhan";"ദശാംശ സംഖ്യകളും ഉൾപ്പെടെ";"दशांश संख्यांसह";"Аравтын бутархайтай";"दशमलवसहित";"Med desimaltall";"ଦଶମିକ ସଂଖ୍ୟା ସହ";"با عددهای اعشاری";"Z liczbami dziesiętnymi";"Com números decimais";"ਦਸ਼ਮਲਵ ਗਿਣਤੀਆਂ ਸਮੇਤ";"Cu numere zecimale";"С десятичными числами";"Sa decimalnim brojevima";"දශම අංක සමඟ";"Aj desatinné čísla";"Tudi decimalna števila";"Con números decimales";"Pamoja na nambari za desimali";"Med decimaltal";"தசம எண்களுடன்";"దశాంశ సంఖ్యలతో";"รวมเลขทศนิยม";"གྲངས་ཆུང་ཚུད་པ";"Ondalıklı sayılarla";"З десятковими числами";"اعشاری اعداد سمیت";"ئونلۇق سانلار بىلەن";"O‘nli sonlar bilan";"Có số thập phân";"Gan gynnwys rhifau degol";"Kufaka izinombolo zedesimali"
"info.mode.percentages.header";"";"The popup shown when a topic or mode button is tapped a second time. Aim for 55 characters or fewer.";"Type";"Soort";"Soort";"Lloji";"ዓይነት";"النوع";"Տեսակ";"ধৰণ";"Növ";"Mota";"Тып";"ধরন";"Vrsta";"Вид";"အမျိုးအစား";"Tipus";"类型";"Vrsta";"Typ";"Type";"Liik";"Slag";"Tyyppi";"Type";"Tipo";"ტიპი";"Art";"Τύπος";"પ્રકાર";"סוג";"प्रकार";"Típus";"Tegund";"Jenis";"Cineál";"Tipo";"しゅるい";"ವಿಧ";"Түрі";"ប្រភេទ";"종류";"ປະເພດ";"Veids";"Tipas";"Вид";"Jenis";"തരം";"प्रकार";"Төрөл";"प्रकार";"Type";"ପ୍ରକାର";"نوع";"Typ";"Tipo";"ਕਿਸਮ";"Tip";"Тип";"Vrsta";"වර්ගය";"Typ";"Vrsta";"Tipo";"Aina";"Typ";"வகை";"రకం";"ประเภท";"རིགས";"Tür";"Тип";"قسم";"تۈر";"Tur";"Loại";"Math";"Uhlobo"
"info.mode.percentages.whole";"";"The popup shown when a topic or mode button is tapped a second time. Aim for 55 characters or fewer.";"Without decimal numbers";"Zonder getallen achter de komma";"Sonder desimale getalle";"Pa numra dhjetorë";"ያለ አስርዮሽ ቁጥሮች";"من دون أعداد عشرية";"Առանց տասնորդական թվերի";"দশমিক সংখ্যা নোহোৱাকৈ";"Onluq ədədlərsiz";"Zenbaki hamartarrik gabe";"Без дзесятковых лікаў";"দশমিক সংখ্যা ছাড়া";"Bez decimalnih brojeva";"Без десетични числа";"ဒသမကိန်း မပါ";"Sense nombres decimals";"不含小数";"Bez decimalnih brojeva";"Bez desetinných čísel";"Uden decimaltal";"Ilma kümnendarvudeta";"Uttan desimaltøl";"Ilman desimaalilukuja";"Sans nombres décimaux";"Sen números decimais";"ათწილადების გარეშე";"Ohne Dezimalzahlen";"Χωρίς δεκαδικούς αριθμούς";"દશાંશ વિના";"בלי מספרים עשרוניים";"बिना दशमलव संख्याओं के";"Tizedes számok nélkül";"Án tugabrota";"Tanpa bilangan desimal";"Gan uimhreacha deachúlacha";"Senza numeri decimali";"小数なし";"ದಶಮಾಂಶಗಳಿಲ್ಲದೆ";"Ондық сандарсыз";"គ្មានលេខទសភាគ";"소수 없이";"ບໍ່ມີຈຳນວນທົດສະນິຍົມ";"Bez decimālskaitļiem";"Be dešimtainių skaičių";"Без децимални броеви";"Tanpa nombor perpuluhan";"ദശാംശ സംഖ്യകളില്ലാതെ";"दशांश संख्यांशिवाय";"Аравтын бутархайгүй";"दशमलवबिना";"Uten desimaltall";"ଦଶମିକ ସଂଖ୍ୟା ବିନା";"بدون عددهای اعشاری";"Bez liczb dziesiętnych";"Sem números decimais";"ਦਸ਼ਮਲਵ ਤੋਂ ਬਿਨਾਂ";"Fără numere zecimale";"Без десятичных чисел";"Bez decimalnih brojeva";"දශම අංක නැතිව";"Bez desatinných čísel";"Brez decimalnih števil";"Sin números decimales";"Bila nambari za desimali";"Utan decimaltal";"தசம எண்கள் இல்லாமல்";"దశాంశ సంఖ్యలు లేకుండా";"ไม่มีเลขทศนิยม";"གྲངས་ཆུང་མེད་པ";"Ondalıklı sayılar olmadan";"Без десяткових чисел";"اعشاری اعداد کے بغیر";"ئونلۇق سانسىز";"O‘nli sonlarsiz";"Không có số thập phân";"Heb rifau degol";"Ngaphandle kwezinombolo zedesimali"
"info.mode.random";"";"The popup shown when a topic or mode button is tapped a second time. Aim for 55 characters or fewer.";"Random order";"Willekeurige volgorde";"Lukrake volgorde";"Rend i rastësishëm";"የዘፈቀደ ቅደም ተከተል";"ترتيب عشوائي";"Պատահական հերթականություն";"যাদৃচ্ছিক ক্ৰম";"Təsadüfi ardıcıllıq";"Ausazko ordena";"Выпадковы парадак";"এলোমেলো ক্রম";"Nasumičan redoslijed";"Случаен ред";"ကျပန်းအစဉ်";"Ordre aleatori";"随机顺序";"Nasumični redoslijed";"Náhodné pořadí";"Tilfældig rækkefølge";"Juhuslik järjekord";"Tilvildarlig raðfylgja";"Satunnainen järjestys";"Ordre aléatoire";"Orde aleatoria";"შემთხვევითი რიგი";"Zufällige Reihenfolge";"Τυχαία σειρά";"અવ્યવસ્થિત ક્રમ";"סדר אקראי";"कोई भी क्रम";"Véletlen sorrend";"Handahófsröð";"Urutan acak";"Ord randamach";"Ordine casuale";"ランダムな順番";"ಯಾದೃಚ್ಛಿಕ ಕ್ರಮ";"Кездейсоқ рет";"លំដាប់ចៃដន្យ";"무작위 순서";"ລຳດັບສຸ່ມ";"Nejauša secība";"Atsitiktinė tvarka";"Случаен редослед";"Urutan rawak";"ക്രമരഹിതം";"यादृच्छिक क्रम";"Санамсаргүй дараалал";"अनियमित क्रम";"Tilfeldig rekkefølge";"ଯାଦୃଚ୍ଛିକ କ୍ରମ";"ترتیب تصادفی";"Losowa kolejność";"Ordem aleatória";"ਬੇਤਰਤੀਬ ਕ੍ਰਮ";"Ordine aleatorie";"Случайный порядок";"Nasumičan redosled";"අහඹු පිළිවෙළ";"Náhodné poradie";"Naključni vrstni red";"Orden aleatorio";"Mpangilio wa nasibu";"Slumpmässig ordning";"சீரற்ற வரிசை";"యాదృచ్ఛిక క్రమం";"ลำดับสุ่ม";"གོ་རིམ་གང་བྱུང";"Rastgele sıra";"Випадковий порядок";"بے ترتیب";"ئىختىيارىي تەرتىپ";"Tasodifiy tartib";"Thứ tự ngẫu nhiên";"Trefn ar hap";"Ukuhleleka okungahleliwe"
"info.super.all";"";"The popup shown when a topic or mode button is tapped a second time. Aim for 84 characters or fewer.";"Addition, subtraction, multiplication, division, and percentages";"Optellen, aftrekken, vermenigvuldigen, delen en percentages";"Optel, aftrek, vermenigvuldig, deel en persentasies";"Mbledhje, zbritje, shumëzim, pjesëtim dhe përqindje";"መደመር፣ መቀነስ፣ ማባዛት፣ ማካፈል እና መቶኛ";"الجمع والطرح والضرب والقسمة والنسب المئوية";"Գումարում, հանում, բազմապատկում, բաժանում և տոկոսներ";"যোগ, বিয়োগ, পূৰণ, ভাগ আৰু শতাংশ";"Toplama, çıxma, vurma, bölmə və faizlər";"Batuketa, kenketa, biderketa, zatiketa eta ehunekoak";"Складанне, адніманне, множанне, дзяленне і працэнты";"যোগ, বিয়োগ, গুণ, ভাগ ও শতকরা";"Sabiranje, oduzimanje, množenje, dijeljenje i postoci";"Събиране, изваждане, умножение, деление и проценти";"ပေါင်း၊ နုတ်၊ မြှောက်၊ စားနှင့် ရာခိုင်နှုန်း";"Suma, resta, multiplicació, divisió i percentatges";"加法、减法、乘法、除法和百分数";"Zbrajanje, oduzimanje, množenje, dijeljenje i postoci";"Sčítání, odčítání, násobení, dělení a procenta";"Addition, subtraktion, multiplikation, division og procenter";"Liitmine, lahutamine, korrutamine, jagamine ja protsendid";"Samlegging, frádráttur, falding, býting og prosent";"Yhteen-, vähennys-, kerto- ja jakolasku sekä prosentit";"Addition, soustraction, multiplication, division et pourcentages";"Suma, resta, multiplicación, división e porcentaxes";"მიმატება, გამოკლება, გამრავლება, გაყოფა და პროცენტები";"Addition, Subtraktion, Multiplikation, Division und Prozente";"Πρόσθεση, αφαίρεση, πολλαπλασιασμός, διαίρεση και ποσοστά";"સરવાળો, બાદબાકી, ગુણાકાર, ભાગાકાર અને ટકાવારી";"חיבור, חיסור, כפל, חילוק ואחוזים";"जोड़, घटाव, गुणा, भाग और प्रतिशत";"Összeadás, kivonás, szorzás, osztás és százalékok";"Samlagning, frádráttur, margföldun, deiling og prósentur";"Penjumlahan, pengurangan, perkalian, pembagian, dan persentase";"Suimiú, dealú, iolrú, roinnt agus céatadáin";"Addizioni, sottrazioni, moltiplicazioni, divisioni e percentuali";"たし算、ひき算、かけ算、わり算、パーセント";"ಕೂಡಿಸುವಿಕೆ, ಕಳೆಯುವಿಕೆ, ಗುಣಾಕಾರ, ಭಾಗಾಕಾರ ಮತ್ತು ಶೇಕಡಾವಾರು";"Қосу, азайту, көбейту, бөлу және пайыздар";"បូក ដក គុណ ចែក និងភាគរយ";"덧셈, 뺄셈, 곱셈, 나눗셈, 백분율";"ບວກ, ລົບ, ຄູນ, ຫານ ແລະ ເປີເຊັນ";"Saskaitīšana, atņemšana, reizināšana, dalīšana un procenti";"Sudėtis, atimtis, daugyba, dalyba ir procentai";"Собирање, одземање, множење, делење и проценти";"Tambah, tolak, darab, bahagi dan peratus";"കൂട്ടൽ, കുറയ്ക്കൽ, ഗുണനം, ഹരണം, ശതമാനങ്ങൾ";"बेरीज, वजाबाकी, गुणाकार, भागाकार आणि टक्केवारी";"Нэмэх, хасах, үржүүлэх, хуваах, хувь";"जोड, घटाउ, गुणन, भाग र प्रतिशत";"Addisjon, subtraksjon, multiplikasjon, divisjon og prosent";"ଯୋଗ, ବିୟୋଗ, ଗୁଣ, ଭାଗ ଓ ଶତକଡ଼ା";"جمع، تفریق، ضرب، تقسیم و درصد";"Dodawanie, odejmowanie, mnożenie, dzielenie i procenty";"Adição, subtração, multiplicação, divisão e percentagens";"ਜੋੜ, ਘਟਾਓ, ਗੁਣਾ, ਭਾਗ ਅਤੇ ਪ੍ਰਤੀਸ਼ਤ";"Adunare, scădere, înmulțire, împărțire și procente";"Сложение, вычитание, умножение, деление и проценты";"Sabiranje, oduzimanje, množenje, deljenje i procenti";"එකතු කිරීම, අඩු කිරීම, ගුණ කිරීම, බෙදීම සහ ප්‍රතිශත";"Sčítanie, odčítanie, násobenie, delenie a percentá";"Seštevanje, odštevanje, množenje, deljenje in odstotki";"Sumas, restas, multiplicaciones, divisiones y porcentajes";"Kujumlisha, kutoa, kuzidisha, kugawanya na asilimia";"Addition, subtraktion, multiplikation, division och procent";"கூட்டல், கழித்தல், பெருக்கல், வகுத்தல் மற்றும் சதவீதங்கள்";"కూడిక, తీసివేత, గుణకారం, భాగహారం, శాతాలు";"บวก ลบ คูณ หาร และเปอร์เซ็นต์";"སྣོན་རྩིས། འཐེན་རྩིས། སྒྱུར་རྩིས། བགོ་རྩིས་དང་བརྒྱ་ཆ།";"Toplama, çıkarma, çarpma, bölme ve yüzdeler";"Додавання, віднімання, множення, ділення й відсотки";"جمع، تفریق، ضرب، تقسیم اور فی صد";"قوشۇش، ئېلىش، كۆپەيتىش، بۆلۈش ۋە پىرسەنت";"Qo‘shish, ayirish, ko‘paytirish, bo‘lish va foizlar";"Cộng, trừ, nhân, chia và phần trăm";"Adio, tynnu, lluosi, rhannu a chanrannau";"Ukuhlanganisa, ukususa, ukuphindaphinda, ukuhlukanisa namaphesenti"
"info.super.basic";"";"The popup shown when a topic or mode button is tapped a second time. Aim for 55 characters or fewer.";"Addition and subtraction";"Optellen en aftrekken";"Optel en aftrek";"Mbledhje dhe zbritje";"መደመር እና መቀነስ";"الجمع والطرح";"Գումարում և հանում";"যোগ আৰু বিয়োগ";"Toplama və çıxma";"Batuketa eta kenketa";"Складанне і адніманне";"যোগ ও বিয়োগ";"Sabiranje i oduzimanje";"Събиране и изваждане";"ပေါင်းနှင့် နုတ်";"Suma i resta";"加法和减法";"Zbrajanje i oduzimanje";"Sčítání a odčítání";"Addition og subtraktion";"Liitmine ja lahutamine";"Samlegging og frádráttur";"Yhteen- ja vähennyslasku";"Addition et soustraction";"Suma e resta";"მიმატება და გამოკლება";"Addition und Subtraktion";"Πρόσθεση και αφαίρεση";"સરવાળો અને બાદબાકી";"חיבור וחיסור";"जोड़ और घटाव";"Összeadás és kivonás";"Samlagning og frádráttur";"Penjumlahan dan pengurangan";"Suimiú agus dealú";"Addizioni e sottrazioni";"たし算とひき算";"ಕೂಡಿಸುವಿಕೆ ಮತ್ತು ಕಳೆಯುವಿಕೆ";"Қосу және азайту";"បូក និងដក";"덧셈과 뺄셈";"ບວກ ແລະ ລົບ";"Saskaitīšana un atņemšana";"Sudėtis ir atimtis";"Собирање и одземање";"Tambah dan tolak";"കൂട്ടലും കുറയ്ക്കലും";"बेरीज आणि वजाबाकी";"Нэмэх ба хасах";"जोड र घटाउ";"Addisjon og subtraksjon";"ଯୋଗ ଓ ବିୟୋଗ";"جمع و تفریق";"Dodawanie i odejmowanie";"Adição e subtração";"ਜੋੜ ਅਤੇ ਘਟਾਓ";"Adunare și scădere";"Сложение и вычитание";"Sabiranje i oduzimanje";"එකතු කිරීම සහ අඩු කිරීම";"Sčítanie a odčítanie";"Seštevanje in odštevanje";"Sumas y restas";"Kujumlisha na kutoa";"Addition och subtraktion";"கூட்டல் மற்றும் கழித்தல்";"కూడిక మరియు తీసివేత";"บวกและลบ";"སྣོན་རྩིས་དང་འཐེན་རྩིས";"Toplama ve çıkarma";"Додавання й віднімання";"جمع اور تفریق";"قوشۇش ۋە ئېلىش";"Qo‘shish va ayirish";"Cộng và trừ";"Adio a thynnu";"Ukuhlanganisa nokususa"
